trial,t,X1,X2,X3,X4,X5
9,5.14250317457241,16,8,25,6,4
9,5.145182831971451,16,8,25,6,6
9,5.145663101482144,16,8,25,5,5
9,5.146124852019341,17,7,25,5,5
9,5.148815147158395,17,7,25,4,4
9,5.1584788876678935,16,8,25,4,4
9,5.167102028756623,17,7,25,4,4
9,5.174415867070458,18,6,25,4,4
9,5.179971313955564,18,6,25,2,4
9,5.191511544726915,17,7,25,2,4
9,5.201489031015328,17,7,25,4,4
9,5.201501000512778,16,8,25,4,4
9,5.202758252508113,16,8,25,2,4
9,5.2110676718535425,15,9,25,2,4
9,5.211133238623714,14,10,25,2,4
9,5.213801549164839,14,10,25,4,4
9,5.229533819901078,15,9,25,4,4
9,5.253163774347813,14,10,25,4,4
9,5.2540897144958905,14,10,25,3,3
9,5.279263203334942,14,10,25,2,2
9,5.279345856424831,15,9,25,2,2
9,5.296758676349388,15,9,25,3,3
9,5.299662975083718,14,10,25,3,3
9,5.302393926552048,13,11,25,3,3
9,5.31073565999533,13,11,25,3,5
9,5.327645831799691,13,11,25,3,7
9,5.328605392354669,12,12,25,3,7
9,5.336548920152011,11,13,25,3,7
9,5.345562174825806,11,13,25,3,9
9,5.349451772014239,12,12,25,3,9
9,5.349697934268155,11,13,25,3,9
9,5.353182507134564,11,13,25,3,11
9,5.361893832864219,10,14,25,3,11
9,5.364903807592422,9,15,25,3,11
9,5.368602917952911,8,16,25,3,11
9,5.369035500535485,8,16,25,3,13
9,5.373648450326715,8,16,25,3,11
9,5.384260388781373,8,16,25,3,9
9,5.385673901127164,9,15,25,3,9
9,5.389875385933368,8,16,25,3,9
9,5.397797015578062,7,17,25,3,9
9,5.398680510170407,6,18,25,3,9
9,5.399135267466107,6,18,25,2,8
9,5.412345107855037,5,19,25,2,8
9,5.417116958262178,5,19,25,1,7
9,5.420750816400983,6,18,25,1,7
9,5.422393275941176,6,18,25,3,7
9,5.422913382240383,7,17,25,3,7
9,5.428882771398003,8,16,25,3,7
9,5.432669542054299,9,15,25,3,7
9,5.435806307576991,8,16,25,3,7
9,5.451251382023524,8,16,25,3,9
9,5.454561362375758,9,15,25,3,9
9,5.464079816901536,9,15,25,3,7
9,5.472988260407461,9,15,25,4,8
9,5.484427735792963,8,16,25,4,8
9,5.485838504144889,9,15,25,4,8
9,5.489348401845337,9,15,25,4,10
9,5.489678981494962,8,16,25,4,10
9,5.497788107076876,9,15,25,4,10
9,5.502290900711155,8,16,25,4,10
9,5.508634068903889,7,17,25,4,10
9,5.512115142492809,7,17,25,2,10
9,5.519906725718805,7,17,25,2,8
9,5.525686236376655,7,17,25,3,9
9,5.5339355771895145,7,17,25,3,11
9,5.534003400058257,6,18,25,3,11
9,5.534234223338829,7,17,25,3,11
9,5.543024580695197,6,18,25,3,11
9,5.544590036947027,6,18,25,3,9
9,5.545016640407346,6,18,25,2,8
9,5.546513372502828,6,18,25,3,9
9,5.547847110699106,6,18,25,3,11
9,5.553067650141734,6,18,25,3,13
9,5.5558765094184706,7,17,25,3,13
9,5.555955079781153,8,16,25,3,13
9,5.556990381242606,7,17,25,3,13
9,5.559314512990472,6,18,25,3,13
9,5.566532732588001,6,18,25,3,11
9,5.566775806624888,5,19,25,3,11
9,5.570451213649508,5,19,25,1,11
9,5.571316937896959,4,20,25,1,11
9,5.583527219705607,4,20,25,1,13
9,5.591258491361635,4,20,25,1,15
9,5.592378788690077,4,20,25,1,13
9,5.597067513204629,4,20,25,2,14
9,5.600083707684663,4,20,25,2,12
9,5.604257475208483,3,21,25,2,12
9,5.607452600580039,3,21,25,4,12
9,5.6115083066849305,3,21,25,3,11
9,5.614069486929061,3,21,25,2,10
9,5.6245693494191995,4,20,25,2,10
9,5.627607712141064,4,20,25,1,9
9,5.6316922097526545,4,20,25,1,7
9,5.644012142644171,3,21,25,1,7
9,5.657529122645216,3,21,25,1,9
9,5.661770844800905,4,20,25,1,9
9,5.663488682287049,4,20,25,1,7
9,5.663556727844873,4,20,25,3,7
9,5.671052034528206,4,20,25,4,8
9,5.6722105476021705,5,19,25,4,8
9,5.678061566513861,6,18,25,4,8
9,5.6877501685251515,6,18,25,5,9
9,5.693517493507573,7,17,25,5,9
9,5.695724411244198,7,17,25,5,7
9,5.697336092865867,8,16,25,5,7
9,5.699356450565319,8,16,25,6,8
9,5.7043086979156765,7,17,25,6,8
9,5.704355573228228,8,16,25,6,8
9,5.716273973898083,8,16,25,5,7
9,5.718340854973644,7,17,25,5,7
9,5.718412394550575,8,16,25,5,7
9,5.7216416432547055,9,15,25,5,7
9,5.721754277339487,9,15,25,5,9
9,5.722824690112875,10,14,25,5,9
9,5.73801975836497,9,15,25,5,9
9,5.739489582839788,10,14,25,5,9
9,5.742932365494141,9,15,25,5,9
9,5.743929113217724,8,16,25,5,9
9,5.7441310390718225,7,17,25,5,9
9,5.744542279457861,8,16,25,5,9
9,5.744902687727749,8,16,25,5,11
9,5.745849715428068,9,15,25,5,11
9,5.746256956775567,8,16,25,5,11
9,5.74814122684,7,17,25,5,11
9,5.748662604646877,7,17,25,4,10
9,5.751878926705283,7,17,25,4,8
9,5.756534071363843,7,17,25,5,9
9,5.7565888380497,7,17,25,5,11
9,5.757369012621342,8,16,25,5,11
9,5.759379980453826,8,16,25,5,9
9,5.761238871346746,8,16,25,5,7
9,5.762208477002377,9,15,25,5,7
9,5.766490324215341,10,14,25,5,7
9,5.766983657333185,10,14,25,4,6
9,5.777824361724287,9,15,25,4,6
9,5.778494166635725,10,14,25,4,6
9,5.778501059788129,10,14,25,5,7
9,5.782274662460437,10,14,25,4,6
9,5.787978251054769,11,13,25,4,6
9,5.78942039566144,11,13,25,6,6
9,5.791684515276863,11,13,25,6,8
9,5.796679137059762,10,14,25,6,8
9,5.800659408351601,10,14,25,6,6
9,5.803492984948422,11,13,25,6,6
9,5.80441759861958,10,14,25,6,6
9,5.805407639631369,10,14,25,5,5
9,5.806224805405889,11,13,25,5,5
9,5.813181183286257,11,13,25,5,7
9,5.816774472277174,12,12,25,5,7
9,5.818448737322423,12,12,25,5,5
9,5.822540451700167,13,11,25,5,5
9,5.823422688292008,14,10,25,5,5
9,5.829221182415197,14,10,25,4,4
9,5.832821179248991,14,10,25,5,5
9,5.840638388764492,14,10,25,6,6
9,5.840853934803771,15,9,25,6,6
9,5.842571849428394,15,9,25,6,4
9,5.848340934743435,16,8,25,6,4
9,5.853570797387143,16,8,25,5,3
9,5.8582619832020795,16,8,25,7,3
9,5.86277083342311,17,7,25,7,3
9,5.8780060185789145,17,7,25,7,5
9,5.879813652822446,17,7,25,9,5
9,5.885079832095233,17,7,25,11,5
9,5.88694610650517,17,7,25,12,6
9,5.887733364358311,17,7,25,12,8
9,5.888962655874486,18,6,25,12,8
9,5.8894472499492725,19,5,25,12,8
9,5.889992239783541,20,4,25,12,8
9,5.8904942132513245,20,4,25,12,6
9,5.891232038585132,19,5,25,12,6
9,5.896749059069029,19,5,25,14,6
9,5.8992882005671845,18,6,25,14,6
9,5.899710305309561,18,6,25,12,6
9,5.902230147859419,18,6,25,11,5
9,5.905309659299802,17,7,25,11,5
9,5.905756253554369,17,7,25,9,5
9,5.912130631650047,17,7,25,9,7
9,5.9154013940362615,17,7,25,8,6
9,5.916371311869604,16,8,25,8,6
9,5.9171827859264345,17,7,25,8,6
9,5.917824645908944,18,6,25,8,6
9,5.919915239124607,19,5,25,8,6
9,5.923305569471694,19,5,25,7,5
9,5.923886985793453,18,6,25,7,5
9,5.930021274827013,17,7,25,7,5
9,5.932440178715344,16,8,25,7,5
9,5.944740291318858,15,9,25,7,5
9,5.945012712100771,15,9,25,5,5
9,5.9512982305654845,16,8,25,5,5
9,5.954625195813701,15,9,25,5,5
9,5.957497654922409,14,10,25,5,5
9,5.958776732887101,15,9,25,5,5
9,5.959342988418437,15,9,25,3,5
9,5.966736663034464,15,9,25,1,5
9,5.968291568826004,15,9,25,3,5
9,5.971405279909943,14,10,25,3,5
9,5.9734677378071,14,10,25,2,4
9,5.974452651747513,13,11,25,2,4
9,5.9748013631408545,14,10,25,2,4
9,5.9772315150773485,14,10,25,2,6
9,5.986103791216027,14,10,25,2,8
9,5.993844365530318,15,9,25,2,8
9,5.994813141214426,14,10,25,2,8
9,6.0029145500134335,13,11,25,2,8
9,6.017590809179884,12,12,25,2,8
9,6.0176046446803255,12,12,25,4,8
9,6.018546177687903,13,11,25,4,8
9,6.027535207536899,13,11,25,4,10
9,6.02795337758661,14,10,25,4,10
9,6.029926819165104,14,10,25,4,8
9,6.03458684103738,13,11,25,4,8
9,6.035425312046742,12,12,25,4,8
9,6.036187682998664,13,11,25,4,8
9,6.040384838781205,12,12,25,4,8
9,6.044495752934121,12,12,25,3,7
9,6.044752660391049,12,12,25,2,6
9,6.052056040190424,12,12,25,3,7
9,6.0562752619956335,11,13,25,3,7
9,6.058952560308968,10,14,25,3,7
9,6.074671866924406,10,14,25,1,7
9,6.080736958359436,9,15,25,1,7
9,6.089735668231442,8,16,25,1,7
9,6.08997271381307,8,16,25,1,5
9,6.0928013160353585,9,15,25,1,5
9,6.1003708471517655,8,16,25,1,5
9,6.103284444008387,8,16,25,1,3
9,6.118002271426736,9,15,25,1,3
9,6.133815884018769,9,15,25,1,5
9,6.139354617930659,9,15,25,3,5
9,6.143277443438774,9,15,25,3,3
9,6.150828404177628,9,15,25,3,5
9,6.157254167075499,9,15,25,2,4
9,6.161273861469193,9,15,25,3,5
9,6.161917188769752,9,15,25,2,4
9,6.162647801910074,8,16,25,2,4
9,6.172097327653448,7,17,25,2,4
9,6.1772116198264975,7,17,25,1,3
9,6.183878127678739,7,17,25,3,3
9,6.187047818525049,7,17,25,2,2
9,6.196959950469458,7,17,25,2,4
9,6.2105869674791485,7,17,25,3,5
9,6.211909574752614,6,18,25,3,5
9,6.218336497129151,5,19,25,3,5
9,6.2240588806661865,5,19,25,5,5
9,6.226094617250844,6,18,25,5,5
9,6.233626299848366,6,18,25,3,5
9,6.24898127585179,7,17,25,3,5
9,6.249037332396948,7,17,25,3,3
9,6.251515897609011,7,17,25,3,5
9,6.257684607191801,7,17,25,1,5
9,6.258499325798102,7,17,25,3,5
9,6.27015059862345,6,18,25,3,5
9,6.295289589513516,5,19,25,3,5
9,6.296399410787225,4,20,25,3,5
9,6.300469743868511,4,20,25,2,4
9,6.308952093135011,5,19,25,2,4
9,6.313122145621639,6,18,25,2,4
9,6.351499228705636,6,18,25,2,6
9,6.352686466306796,6,18,25,3,7
